QID,Brand,Model,Question,Dialogue
Q11,广汽本田,飞度,三代飞度手动挡、想咨询下师傅们我经常走高速、只要一上高速就急加速冲上时速120公里、过后就一直开140左右、大约五十公里、每天如此，请问经常这样对车有什么影响吗？,技师说：你好！高速行车对车子没有任何问题，但是高速行车需要注意安全。|车主说：那就好，我就怕久而久之对发动机损害比较大|技师说：这个不会的。长时间这样开车，对发动机还是有好处的。|车主说：不会拉缸吧、以前的摩托车这样飙经常拉缸哈哈|技师说：不会的拉缸的。比如润滑，冷却不好这样才会导致拉缸的。行驶中水温正常是没有问题的。|车主说：好的明白了谢谢赐教|技师说：不客气
Q12,上汽通用雪佛兰,迈锐宝,大师你好，雨天挡风玻璃上起雾，有什么高招清除？,技师说：前风挡起雾的主要原因，就是因为室内的空气湿度比较大，外界的空气比较冷，这时候在前风挡的位置产生一个温差，所以产生雾气，这时候我们只要打开空调的ac开关，然后调到前风挡除雾，那么就可以了。如果说温度感觉不太合适，可以调高温度就可以了，也就是说，我们调高调到暖风，它同样是可以起到除雾的作用。
Q13,吉利汽车,远景,我的吉利新远景跑了1690需要检查机油吗,技师说：你的车辆才跑了不到1700公里，机油应该是没有问题的，这种情况我们可以检查一下，但是应该不会有问题。
Q14,上海通用雪佛兰,科鲁兹,车辆起步的时候汽车一顿熄火了。 这样会不会打坏或者打断发动机齿轮？,技师说：你好，不会，但是对电瓶起动机寿命都有一定的影响|车主说：发动机不会有什么影响吧？|技师说：发动机不会有影响，|车主说：电瓶启动机能更换吗？|技师说：可以的，很简单
Q15,上汽通用五菱,五菱荣光,五菱荣光车后音响喇叭换对低音喇叭效果会不会好点,技师说：这个不一定有很好的效果，主要原因是车辆的喇叭跟音响是有关系的，就像是我们家庭的功放，如果是选用好的喇叭，没有好的功放，那么肯定也出不来那种效果的。|车主说：现在我有起亚k2cd机，后门换两个宝马车的低音喇叭，效果好吗？|技师说：首先您这个音响的机器是否能够安装到车上，这也是一个问题，然后是否匹配，喇叭的瓦数，都是有关系的，您可以安装，但是它肯定有一定的效果，并不一定能够达到非常极致的效果。
Q16,雷克萨斯,雷克萨斯ES,这里被挂掉了一块，怎么修复呢,技师说：从这张图片来看，您的车辆被需要喷漆处理。可以到经销店去，或者是报保险公司李克萨斯本身这款车属于豪华车型，可能喷漆的费用比较高，我个人还是建议您走保险公司比较好。|车主说：您好，这里挖个坑出来了|技师说：没有明白您说的意思，这里挖个坑是指的，什么意思呢！|车主说：就是掉了一块肉|技师说：这种情况肯定得需要整形的|车主说：整形？怎么整|技师说：如果是变形度不是很大，那么这种情况只是轻微的进行整形就可以了|车主说：您说的整形是物理处理，还是需要焊接打磨？|技师说：从这个变形角度来说，只需要整形处理，也就是说的物理处理就可以了，不需要焊接的，但肯定得需要打磨。
Q17,长安汽车,悦翔V7,发动机声音大有办法调理吗大师？买的是长安悦翔V7手动挡的，买了一年半了，刚买的时候声音就特别大，以为是磨合期，现在都一万六千多公里了，还是那么大。,技师说：你好！目前来说国产发动机的声音都是比较大的。
Q18,东风风行,风行S500,新车开了快半年，行驶5千公里，左前轮轮胎侧面鼓包，请问可以找4S店免费索赔吗,技师说：你好，轮胎碰撞过吗？一般轮胎不能索赔的，需要更换处理，防止爆胎。|车主说：怎么判断是质量问题还是人为|技师说：看是否碰撞过，具体方法是他们检测
Q19,野马汽车,野马T70,油门踩到底，才三千转，而且走不了，什么问题？,技师说：您好，p档转速限制，只有三千转的啊|车主说：D档加油门都不快，跟没加油门一样？|车主说：加油门走不了|技师说：确定刹车系统没问题吧，不会刹车分泵不回位吧，你可以挂空挡，推车感觉一下阻力|技师说：故障灯没亮？|车主说：没有|车主说：走是可以走，就是加油门走跟没加油门一样？|技师说：你检查一下刹车|技师说：空挡如果推不动就是刹车问题|车主说：能推动|技师说：你是修理工吗？上举升机怎么样，能不能跑？最好多少码？维修过什么|车主说：不是，大修后就这样？|技师说：噢，这样啊，修过哪些东西？|技师说：发动机还是变速箱|车主说：发动机|技师说：这种车最好编程一下电脑板，用电脑看一下有没有故障码|车主说：看了，系统正常|技师说：如果都没有问题，那就有可能是变速箱问题了，出现这个问题多久了？开了多少路？检查了变速箱油吗？最好能跑多少码|车主说：加油门跑不了|车主说：连个小波都走不动|技师说：你拖车去4s店吧，别折腾了，让他们给你变速箱油检查一下，首先编程，配置设定试试能不能好|车主说：好的，谢谢你|技师说：不客气
Q20,大众(进口),途观,途观，今天我开车，按方向盘右边的喇叭按钮，按了好几次都不响，偶尔响一下，请问这是什么情况，我的车还没过保，可不可以索陪，按键不灵，这个关系到安全气囊吗，要修，应该怎么修，换什么?要不要换总成?我怕被4S给忽悠了，去修我心里也有个底,技师说：你好，根据你的描述是方向盘一边按钮不太好用另一边正常的，这个可以索赔的，不影响安全气囊，索赔更换喇叭开关即可恢复正常。
Q21,上汽通用雪佛兰,景程,2005款雪佛兰景程有时候换挡会剧烈顿挫，跑不了高速，感觉车没力，重新启动后就恢复了，但过一段时间又出现了,技师说：您好，最近什么公里数换的变速箱油？是自动挡对吗？|车主说：没换过变速箱油，自动挡，仪表上有个hold灯闪|技师说：05年到现在没换变速箱油？这样车都没坏算你运气好，这样你先去把变速箱油换掉，就好加个变速箱系统清洗维护|车主说：我之前查过会不会是档位开关坏了|技师说：档位开关是有可能的，但是变速箱油是需要更换了，变速箱油脏了导致变速箱模块受损也会出现这样情况|车主说：如果变速箱油换了还有这个问题就换档位开关吗|技师说：对的，就这两个东西会导致这样的情况
Q22,一汽-大众奥迪,奥迪Q3,07款，26万公里！保养后行驶5000+后冷车时提速机油灯会亮！该怎么办？,技师说：您好，机油到刻度线哪里？加到上限试试|车主说：加到上限肯定不会亮了，但还是烧机油啊，怎么能解决？|车主说：像这种情况我该用什么样的机油比较好？|技师说：如果7500公里少个半升多到一升还是可以接受的，毕竟公里数多了|技师说：用什么油都没用，烧机油只有检查大修才能解决，公里数多了，也没办法|车主说：汽油用什么对发动机好些，我一直加的97号现在用的95V|技师说：97-95已经很不错的油了|技师说：对汽油没有特别要求|车主说：好的，谢谢！|车主说：顺便给你们个建议，你们这软件做的好垃圾，能改进下就太好了！|技师说：好的，感谢你的建议，哪些方面做的不好啊，可以和客服反应的，目前我使用的就是正在更新的测试版本|车主说：不好意思，我的是本田，我提的问题后面怎么会有宝马X5的字样，如果是本田回答是一样的吧？|技师说：一样的，这是公里数多了，汽车内部零件老化磨损导致的，本田车出现这样情况很少，但是也有遇到过|车主说：好的，谢谢|技师说：不客气
Q23,长安福特,蒙迪欧,新蒙迪欧主驾的玻璃升降键跟后视镜调节键天窗键都失灵开关不了怎么回事,技师说：您好，检查一下开关总成的插头有没有电源和打铁，有可能开关坏了|车主说：刚上车的时候不通电，过几分钟就正常了。|技师说：需要过几分钟后，正常？|车主说：三到五分钟吧|技师说：这种问题建议先去4s一下，用专用电脑给车身模块编程一下，或者更换一个车身模块实验，如果是质保期就好弄了|车主说：好的谢谢
Q24,长安福特,福克斯,07款福特福克斯，目前行驶了13万公里，  目前故障灯老是闪，还有就是油门会吐，总感觉提不起油来，请问大师是怎么回事,技师说：你好，这种情况需要电脑检测一下故障码，可能是缺缸导致。|车主说：发动机声音上了100马很大是什么原因|技师说：车子跑多少公里了？这要检查机油是否缺少，各皮带轮轴承是否有磨损，轮胎轴承是否响，还有就是发动机内部公里数多了磨损间隙过大都会声音大，具体需要检查的。|车主说：13万公里了！  就是速度快就感觉声音大，不知道什么原因|技师说：上面说要检查一下才能找出问题。去修理厂检查一下吧。|技师说：是的，不实车检查不能确定故障位置的。
Q25,上汽通用别克,别克GL8,缸线通用吗？我刚才不小心把线头那给拉断了,技师说：您好，这款车的钢线通用的，你找个旧的好的换上就可以了
Q26,比亚迪,宋,比亚迪宋盖世版手精！300公里，买了一个月，今天进入车内，按一键启动，键上绿灯闪了闪，响了一声警报声，中控，仪表都没有反应！试了好几次，都不行！哪位大侠知道这是什么情况啊？,技师说：你好，新车这种情况一般都是钥匙电子亏电，感应不到钥匙了，把钥匙靠近一键启动按钮在启动试试。
Q27,广汽本田,雅阁,我想买辆二手车 请问看二手车有没有什么诀窍啊？哪些地方需要注意？ 希望可以分享下具体流程和细节  谢谢,技师说：你好很高兴为你服务 首先检查车况  尤其是检查有没有撞过  大梁有无变形  车身有无变形 其次 检查油水电  发动机有无漏油 变速箱挂档是否平顺  刹车片刹车盘是否还有|技师说：另外听一下发动机运营声音是否平稳   试车时车辆有无跑偏  过烂路有无异常声响|技师说：以上都是个人总结的一点点  希望对你有帮助有问题欢迎|技师说：追问|技师说：德系车容易烧机油 发动机爱漏油   日系车发动机不容易出问题 但是安全系数比较低 不经撞|技师说：萝卜白菜各有所爱
Q28,广汽乘用车,传祺GS4,前天停车后备箱没有关闭导致电瓶没电了。今天救援过来用应急电源搭电，是一键启动的车，能听到哒哒哒的声音但是仍然启动不了，而且一接电源车子就报警，按遥控钥匙也没用。求教怎么解决报警问题和启动问题,技师说：你好，应急电量不够起动，更换有电电瓶吧！|车主说：更换电瓶啊那这么麻烦？|技师说：电瓶亏电太厉害了！|车主说：换电瓶要多少钱啊？这个电瓶没用了吗|技师说：350左右一块电瓶，旧的没用了
Q29,长安福特,福睿斯,换个福特福瑞斯前面的保险杠多少钱,技师说：你好，原车杠600左右，|车主说：在4s 店换呢|技师说：修理厂，|车主说：那在4s 店要多少啊|技师说：1200左右吧|车主说：换个前面的大灯要多少钱啊|技师说：1800左右吧|车主说：两样一共1800 ？|技师说：就一个大灯|车主说：好吧
Q30,东南汽车,东南DX7,你好，我是2016年9月份提的车，前几天自己洗车时发现车身C柱上方有补漆的痕迹，怀疑车子维修过，我现在该怎么办？,技师说：能提供相关部位的图片吗？|技师说：首先要确定确实属于维修后的车辆，如果是这样，根据国家相关规定，销售店承担车价十倍的赔偿|车主说：现在晚上看不出来，白天有阳光时比较明显！|技师说：您可以提供相关照片，我可以帮您看看|车主说：那我下楼给你先拍张看看！|技师说：明天也可以的|车主说：噢，那时间过了半年了，有办法追溯嘛？|技师说：可能比较麻烦，因为时间太长了，先要确定您说的地方是否属于维修后的情况|车主说：[图片]|车主说：[图片]|技师说：图片上看这个地方确实有点异常但是不能确定是维修过的，只能找相关技术人员实车检查|车主说：去哪里找技术人员实车检查呢？|车主说：比较有权威性？|技师说：先找维修单位的师傅看看，找油漆专业的师傅|车主说：噢，好的！|车主说：那明天我去4S店找维修师傅看看！|技师说：也可以的|车主说：先谢谢李师傅了！|车主说：后续再向你请教！|技师说：好的，可以的
Q31,东风日产,轩逸,4s店做首保2500公里！！！我2400公里可以做吗？？2600公里可以做吗？,技师说：您好！可以的，提前一点和推迟一点公里数，都不影响。不能推迟太多，这样对发动机不好，首保没有影响，一般对100公里没有影响|车主说：日产4s首保2500公里不换机油，，，5000才换。。。正常吗|技师说：正常，确实是这样，但是首保我记得好像是1000公里做|技师说：您看了手册没有，|车主说：4s店说是2500！我没看手册
Q32,上汽通用别克,君越,钥匙在车里。起动有时候提示不能识别钥匙,技师说：您好！请问车辆的电池用多久了？|车主说：刚买的二手车|车主说：不知道用多久了。但是有时候是好的|技师说：建议检查一下遥控器的电池电量和车辆的电瓶，一般都是这两个方面的影响|车主说：请问跟换钥匙电池有什么注意事项吗|技师说：注意电池型号必须和原来的钥匙一样|车主说：就一把钥匙。把旧电池取下来在把新电池装上就可以了吗|技师说：更换电池是这个流程。目前车辆的情况，需要先检查一下是不是这个电池的电量不够，|车主说：我这是时好时坏。车子锁上了再打开起动的时候就会提示没有发现钥匙，过会又好了！请问这是钥匙没电的原因吗|技师说：估计车辆电瓶的可能性比较大|技师说：具体情况是需要实际检测的，不能只凭经验判断，同一个故障现象，可能有很多种原因|车主说：车辆电瓶刚换新的|车主说：那像我这样情况应该去4s店还是去哪里？
Q33,上汽大众,POLO,08年polo劲情。打算换掉两个轮胎，需不需要做四轮定位？还有跑高速的时候超过100码感到抖动，是不是要做一下动平衡？如果做的话大概多少钱？谢谢！,技师说：同时更换两个或者两个以上的新轮胎，建议要做四轮定位和四轮动平衡。 四轮定位和动平衡在更换轮胎的店里面，与更换轮胎同时进行，是不会单独收费的。 跑高速方向盘抖动，与动平衡有直接关系|车主说：大师，我光做动平衡就可以了吧！|技师说：如果要处理高速方向盘摆动，可以先进行动平衡。预计4个轮胎，费用在60-80左右|车主说：好的，谢谢啦！
Q34,一汽-大众奥迪,奥迪A4L,刚刚亮起，是什么故障灯？,技师说：这是发动机故障灯|技师说：该故障灯点亮，表示发动机系统检测到故障，需要用解码器读取故障记录。根据故障提示排查问题。|车主说：[图片]|车主说：抬速不出常，平时正常是800转，今晚突然底转速，当推到p挡后转速升到千二三转，然后又降下来|车主说：这是什么问题
Q35,上汽大众,朗逸,朗逸17款新车。300公里。行驶中发现转数高，停车熄火。档位在D挡回不去。刹车踩不下去，打不燃火,技师说：你好，发动机故障灯亮了没有，检查一下刹车真空助力|车主说：[图片]|车主说：请问怎么检查|车主说：可以电话交流吗？|技师说：没办法，我们有规定不让留联系方式，车子启动，起动机工作不|技师说：我问你回答，尽最大努力帮你解决问题！|车主说：点火完全没有反应。档位回不去。刹车踩不了。方向盘锁死|技师说：仪表盘上防盗灯有没有亮，|车主说：我刚刚给你发了一张图片。亮的就是那些|技师说：检查一下发动机舱和驾驶员车门旁边仪表台测面有没有保险丝烧了|车主说：没有看到。麻烦问一下。这种情况我的车还没有上户。应该怎么找4s店处理|技师说：新车，4s店要给质保的，要把问题帮你彻底解决，并且告诉你造成这种故障的原因，|车主说：可以找他理赔吗？|车主说：自动挡能不能找车拉回去呢？|技师说：自，在变速器杆旁边有个机械回位的插孔，可以把档位回到空挡上，用车拉，要不然自动挡不能直接拉|技师说：放心把，他们肯定要帮你把问题解决的，如果解决不了，你可以申请理赔|车主说：机械回位在哪？|技师说：在换挡杆周边，塑料盖子下面，|车主说：[图片]|车主说：哪里？|技师说：把皮套拿掉|车主说：[图片]|车主说：哪一个？|车主说：复位了，火打燃了|技师说：那就好|技师说：可以去4s店找他们，|车主说：谢谢|技师说：不用谢
Q36,东风本田,本田CR-V,2011款本田crv2.0排量自动两驱，已经咨询过4s店这车开空调怠速就是抖动，这车怠速值太低，问了几家店想调高一下怠速值，都不给我调，红包咨询各位大师哈尔滨推荐一个会整这个电脑的我想把怠速值调整到800原来的650太低了。红包打赏谢谢,技师说：你的车这种现象首先要清洗节气门，更换空气滤芯，然后在用电脑做下节气门匹配，怠速就正常了，希望我能帮到您。
Q37,一汽-大众奥迪,奥迪A4,请问离合器打滑会有什么感觉？,技师说：起步或者爬坡的时候会感觉动力不足，转速表转速升高车行驶的很慢，
Q38,一汽-大众奥迪,奥迪A6,05年的圆屁股a6，1.8T自动挡，能卖多少钱，一手车，车况好【车型：奥迪A6】,技师说：你好，你可以在当地二手车市场让他们估价，我想大概还能值30000-40000左右吧。谢谢
Q39,北京现代,瑞纳,新买的车，想贴膜，请问什么牌子的膜好用？在一般的店里贴膜大概多少钱？当然不要太贵的，就是经济实惠的～,技师说：你好，最好是熟人修理厂，因为贴膜利润是比较大得，暴利产品，四门后档便宜，前挡风玻璃要贵一点得。祝你们幸福的，|车主说：请问四门后挡贴个一般的大概多少钱|技师说：熟人得话四门加后档四五百，一个前挡也是四百块钱左右。如果是比较熟或者亲戚更便宜，因为膜得利润是百分几百
Q40,上汽通用五菱,五菱之光,五菱之光面包 电瓶老老是有白的正极 为什么,技师说：你好，那是虚接，处理方法可以把电瓶卡拆下用水冲洗干净，擦干，在桩头涂抹黄油，在装上就可以防止在出现类似情况|车主说：不拆可以用水充吗|技师说：可以，也会掉的|车主说：伤电瓶吗 非要机油吗|技师说：不伤，黄油，抹一层就行，抹多了，时间长招灰难看|车主说：没有黄油|技师说：没有黄油的话，用水清理干净，装上就可以，抹黄油就可以防止这样情况再次发生|技师说：机油有流动性，不好用，爱招灰|车主说：奥 打火的时候能听见响声就是发动机不启动时什么原因 多打几次就好啦|技师说：你这样情况，电瓶虚接可能性很大，先把电瓶处理好，在看看|车主说：好|技师说：好，一会我有时间给你写个问诊报告|车主说：是啥|技师说：一会写出来，你看一眼就明白了|车主说：嗯
Q41,比亚迪,宋,请问我的比亚迪宋1.5T DIT在启动时转速会掉下来，不稳定，只是启动的时候。,技师说：建议您检查节气门，因为是电子节气门，如果打车的瞬间，电脑控制电子节气门打开的角度要偏大一定，更好的为了着车，如果节气门内部有点脏的话进气量稍小，导致打车时候转速会低，，谢谢|车主说：冷启动动没有，热启动就是这样的。但是启动的那瞬间不稳定。启动后是稳定的。|技师说：对，建议您清洗节气门和进气道
Q42,长安马自达,马自达3星骋,老奥迪a4，漏机油在三元催化这边。,技师说：你好，气门室盖垫不行了漏油|技师说：更换一下气门室盖垫就可以了
Q43,一汽丰田,威驰,新车还没过磨合期，试过跑过三千转，不是很长时间。这样对新车有影响吗？,技师说：你好，没有影响的，一般建议不超过3500转，新车都经过冷磨合的，加工精度已经很好了，下次祝用车愉快|技师说：谢谢对我们的信任
Q44,一汽-大众奥迪,奥迪A6L,12款奥迪A6L2.0T.现在96828公里。刚刚提示出现，黄色的图标，转向：系统故障，你可以继续驾驶。,技师说：你好，还有助力吗？？|车主说：亮灯以后，感觉方向重了很多|技师说：这款车，是有针对助力黄色报警升级的|技师说：还点需要电脑检测，读取具体故障码？|技师说：你可以向右打死方向，然后用力些停住十秒以上，听见滴声音松开，反方向在做个动作！然后归正试试！|车主说：熄火打方向吗|技师说：如果这个方法不行，就去4s电脑检测，看看具体故障码！能升级升级在试试！|技师说：着车打|车主说：这个车四个月前换过方向机总成，前面半个小时出现这个故障|技师说：在哪里换的啊？？|技师说：那就也可能换的方向机问题的！|车主说：没在4S店换的|技师说：那只能去你换方向机地方检查了！|车主说：好的，谢谢啊|技师说：不客气，还有疑问吗？|技师说：可以按我的方法试试，不行就去修理厂检查|车主说：没有了，谢谢啊|技师说：不用谢！希望能够帮到你解决问题，可以点击头像关注我，有问题可以一对一的进行电话?咨询或者图文咨询！??
Q45,一汽-大众,高尔夫,你好，我的车是高尔夫7..前杠有两处点漆，感觉不美观，请问大师有什么好的办法,技师说：车主你好，保险杠油漆刮伤比较严重，需要重新喷漆，建议去修理厂喷漆即可，一般保险杠喷漆价格300左右。
Q46,东风悦达起亚,K5,10年奥迪Q5自动7速双离合，加变速箱油，从哪个位置看够不够，,技师说：你好，在变速箱侧面有个观察孔的，打开，有油流出就够了，大概可以加五升多！|技师说：希望能够帮到你解决问题，可以点击头像关注我，有问题可以一对一的进行电话?咨询或者图文咨询！??
Q47,上汽通用别克,凯越,前天晚上开着车突然前雾灯不亮了，中控台灯，点烟器灯都不亮了，怎么回事求解,技师说：应该是小灯不亮导致雾灯不亮，先检查一下小灯是不是亮，一般车开雾灯必须开小灯，小灯控制中控台灯和点烟器灯，希望能帮到您
Q48,东风雪铁龙,雪铁龙C4L,您好，小长假跑高速跑了400公里左右，怎么发动机故障报警，停车后检查无异常，发动机声音正常，机油正常，熄火，重新点火，故障码依旧在，不知道怎么回事？是与高速跑的久了有关系吗？求解答。谢谢,技师说：是不是在外地加油了？油的品质会导致发动机故障灯亮|车主说：是的，都是高速加的中国石油的油，其他不敢胡加。同行一辆1.8排量的同车，他的好着呢。|技师说：建议您加瓶燃油宝试试，有条件的话先去修理厂查一下故障码，|技师说：车就像人，每个人的体质不一样，车同样也是|车主说：?，谢谢您，么么哒
Q49,上汽通用别克,英朗,新换的马牌轮胎不知道装反没有。,技师说：轮胎上没有“旋转方向箭头”指示 怎么安装都可以，不会安装反的！  四季胎一般没有安装方向要求的！  只有防滑胎（雪地胎）才有正反面
